"id","theme","author_name","author_bio","quote_text"
"1","leadership","Napoleon Bonaparte","French military commander and emperor","A leader is a dealer in hope."
"2","leadership","Napoleon Bonaparte","French military commander and emperor","The battlefield is a scene of constant chaos. The winner will be the one who controls that chaos, both his own and the enemy's."
"3","leadership","Seneca","Roman Stoic philosopher and statesman","A great leader never sets out to be a leader. He sets out to make a difference."
"4","leadership","Plato","Classical Greek philosopher","The measure of a man is what he does with power."
"5","leadership","Plato","Classical Greek philosopher","Wise men speak because they have something to say; fools because they have to say something."
"6","leadership","Ernest Shackleton","Antarctic explorer and exemplary leader","Optimism is true moral courage."
"7","leadership","Teddy Roosevelt","26th President of the United States and conservationist","The best executive is one who has sense enough to pick good men to do what he wants done, and self-restraint to keep from meddling while they do it."
"8","focus","Napoleon Bonaparte","French military commander and emperor","Take time to deliberate, but when the time for action comes, stop thinking and go in."
"9","focus","Seneca","Roman Stoic philosopher and statesman","He who is everywhere is nowhere."
"10","focus","Plato","Classical Greek philosopher","Better a little which is well done, than a great deal imperfectly."
"11","focus","Marie Curie","Nobel Prize-winning physicist and chemist","One never notices what has been done; one can only see what remains to be done."
"12","focus","Marcus Aurelius","Roman Emperor and Stoic philosopher","Concentrate every minute on doing what's in front of you with precise and genuine seriousness."
"13","focus","Marcus Aurelius","Roman Emperor and Stoic philosopher","Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth."
"14","growth","Napoleon Bonaparte","French military commander and emperor","Impossible is a word to be found only in the dictionary of fools."
"15","growth","Seneca","Roman Stoic philosopher and statesman","It is not because things are difficult that we do not dare; it is because we do not dare that they are difficult."
"16","growth","Marie Curie","Nobel Prize-winning physicist and chemist","Life is not easy for any of us. But what of that? We must have perseverance and above all confidence in ourselves."
"17","growth","Teddy Roosevelt","26th President of the United States and conservationist","Do what you can, with what you have, where you are."
"18","growth","Marcus Aurelius","Roman Emperor and Stoic philosopher","The happiness of your life depends upon the quality of your thoughts."
"21","leadership","Lao Tzu","Ancient Chinese philosopher","A leader is best when people barely know he exists."
"22","leadership","Sun Tzu","Ancient Chinese military strategist","Victorious warriors win first and then go to war."
"23","leadership","Abraham Lincoln","16th President of the United States","Nearly all men can stand adversity, but if you want to test a man's character, give him power."
"24","leadership","Winston Churchill","British Prime Minister and statesman","Courage is rightly esteemed the first of human qualities because it is the quality which guarantees all others."
"25","leadership","Dwight D. Eisenhower","American general and 34th President of the United States","You do not lead by hitting people over the head. That is assault, not leadership."
"26","leadership","George S. Patton","American general","Lead me, follow me, or get out of my way."
"27","leadership","John F. Kennedy","35th President of the United States","Leadership and learning are indispensable to each other."
"28","leadership","Pericles","Athenian statesman and general","What you leave behind is not what is engraved in stone monuments, but what is woven into the lives of others."
"29","leadership","Cicero","Roman statesman and philosopher","The welfare of the people is the supreme law."
"30","leadership","Plato","Classical Greek philosopher","The heaviest penalty for declining to rule is to be ruled by someone inferior to yourself."
"31","leadership","Napoleon Bonaparte","French military commander and emperor","A soldier will fight long and hard for a bit of colored ribbon."
"32","leadership","Ernest Shackleton","Antarctic explorer and exemplary leader","Through endurance we conquer."
"33","leadership","Teddy Roosevelt","26th President of the United States and conservationist","Far better it is to dare mighty things than to rank with those poor spirits who neither enjoy much nor suffer much."
"34","leadership","Benjamin Franklin","American polymath and Founding Father","Well done is better than well said."
"35","leadership","Heraclitus","Ancient Greek philosopher","Character is destiny."
"36","leadership","Epictetus","Greek Stoic philosopher","No man is free who is not master of himself."
"37","leadership","Socrates","Classical Greek philosopher","The only true wisdom is in knowing you know nothing."
"38","focus","Aristotle","Ancient Greek philosopher","We are what we repeatedly do. Excellence, then, is not an act, but a habit."
"39","focus","Marcus Aurelius","Roman Emperor and Stoic philosopher","Do every act of your life as though it were the very last act."
"40","focus","Seneca","Roman Stoic philosopher and statesman","It is not that we have a short time to live, but that we waste a lot of it."
"41","focus","Benjamin Franklin","American polymath and Founding Father","Lost time is never found again."
"42","focus","Benjamin Franklin","American polymath and Founding Father","Dost thou love life? Then do not squander time, for that is the stuff life is made of."
"43","focus","Lao Tzu","Ancient Chinese philosopher","He who knows others is wise. He who knows himself is enlightened."
"44","focus","Confucius","Ancient Chinese philosopher","The man who moves a mountain begins by carrying away small stones."
"45","focus","Sun Tzu","Ancient Chinese military strategist","He will win who knows when to fight and when not to fight."
"46","focus","Plato","Classical Greek philosopher","The beginning is the most important part of the work."
"47","focus","Marie Curie","Nobel Prize-winning physicist and chemist","Be less curious about people and more curious about ideas."
"48","focus","Albert Einstein","German-born theoretical physicist","It's not that I'm so smart, it's just that I stay with problems longer."
"49","focus","Thomas Edison","American inventor","Opportunity is missed by most people because it is dressed in overalls and looks like work."
"50","focus","Ralph Waldo Emerson","American essayist and philosopher","Finish each day and be done with it."
"51","focus","Epictetus","Greek Stoic philosopher","First say to yourself what you would be; and then do what you have to do."
"52","focus","Marcus Aurelius","Roman Emperor and Stoic philosopher","The impediment to action advances action. What stands in the way becomes the way."
"53","focus","Heraclitus","Ancient Greek philosopher","You cannot step twice into the same river."
"54","focus","Pythagoras","Ancient Greek philosopher and mathematician","No man is free who cannot control himself."
"55","focus","Napoleon Bonaparte","French military commander and emperor","The reason I beat the Austrians is that they did not know the value of five minutes."
"56","focus","Ernest Shackleton","Antarctic explorer and exemplary leader","Difficulties are just things to overcome, after all."
"57","growth","Aristotle","Ancient Greek philosopher","Our characters are the result of our conduct."
"58","growth","Epictetus","Greek Stoic philosopher","It's not what happens to you, but how you react to it that matters."
"59","growth","Epictetus","Greek Stoic philosopher","No great thing is created suddenly."
"60","growth","Thomas Edison","American inventor","Genius is 1% inspiration and 99% perspiration."
"61","growth","Henry Ford","American industrialist","Whether you think you can, or you think you can't – you're right."
"62","growth","Ralph Waldo Emerson","American essayist and philosopher","What lies behind us and what lies before us are tiny matters compared to what lies within us."
"63","growth","Ralph Waldo Emerson","American essayist and philosopher","Do the thing and you will have the power."
"64","growth","Benjamin Franklin","American polymath and Founding Father","An investment in knowledge pays the best interest."
"65","growth","Albert Einstein","German-born theoretical physicist","Imagination is more important than knowledge."
"66","growth","Albert Einstein","German-born theoretical physicist","Life is like riding a bicycle. To keep your balance, you must keep moving."
"67","growth","Winston Churchill","British Prime Minister and statesman","If you are going through hell, keep going."
"68","growth","Aesop","Ancient Greek storyteller","Slow and steady wins the race."
"69","growth","Lao Tzu","Ancient Chinese philosopher","A journey of a thousand miles begins with a single step."
"70","growth","Confucius","Ancient Chinese philosopher","It does not matter how slowly you go as long as you do not stop."
"71","growth","Marcus Aurelius","Roman Emperor and Stoic philosopher","When you arise in the morning, think of what a precious privilege it is to be alive, to breathe, to think, to enjoy, to love."
"72","growth","Marie Curie","Nobel Prize-winning physicist and chemist","Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less."
"73","growth","Napoleon Bonaparte","French military commander and emperor","Victory belongs to the most persevering."
"74","growth","Seneca","Roman Stoic philosopher and statesman","True happiness is to enjoy the present, without anxious dependence upon the future."
"75","growth","Socrates","Classical Greek philosopher","The unexamined life is not worth living."
"19","growth","Marcus Aurelius","Roman Emperor and Stoic philosopher","Waste no more time arguing about what a good man should be. Be one."
"20","leadership","Aristotle","Ancient Greek philosopher","He who cannot be a good follower cannot be a good leader."
