id,theme,author_name,author_bio,quote_text
"1","leadership","Napoleon Bonaparte","French military commander and emperor","A leader is a dealer in hope."
"2","leadership","Napoleon Bonaparte","French military commander and emperor","The battlefield is a scene of constant chaos. The winner will be the one who controls that chaos, both his own and the enemy's."
"3","leadership","Seneca","Roman Stoic philosopher and statesman","A great leader never sets out to be a leader. He sets out to make a difference."
"4","leadership","Plato","Classical Greek philosopher","The measure of a man is what he does with power."
"5","leadership","Plato","Classical Greek philosopher","Wise men speak because they have something to say; fools because they have to say something."
"6","leadership","Ernest Shackleton","Antarctic explorer and exemplary leader","Optimism is true moral courage."
"7","leadership","Teddy Roosevelt","26th President of the United States and conservationist","The best executive is one who has sense enough to pick good men to do what he wants done, and self-restraint to keep from meddling while they do it."
"8","focus","Napoleon Bonaparte","French military commander and emperor","Take time to deliberate, but when the time for action comes, stop thinking and go in."
"9","focus","Seneca","Roman Stoic philosopher and statesman","He who is everywhere is nowhere."
"10","focus","Plato","Classical Greek philosopher","Better a little which is well done, than a great deal imperfectly."
"11","focus","Marie Curie","Nobel Prize-winning physicist and chemist","One never notices what has been done; one can only see what remains to be done."
"12","focus","Marcus Aurelius","Roman Emperor and Stoic philosopher","Concentrate every minute on doing what's in front of you with precise and genuine seriousness."
"13","focus","Marcus Aurelius","Roman Emperor and Stoic philosopher","Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth."
"14","growth","Napoleon Bonaparte","French military commander and emperor","Impossible is a word to be found only in the dictionary of fools."
"15","growth","Seneca","Roman Stoic philosopher and statesman","It is not because things are difficult that we do not dare; it is because we do not dare that they are difficult."
"16","growth","Marie Curie","Nobel Prize-winning physicist and chemist","Life is not easy for any of us. But what of that? We must have perseverance and above all confidence in ourselves."
"17","growth","Teddy Roosevelt","26th President of the United States and conservationist","Do what you can, with what you have, where you are."
"18","growth","Marcus Aurelius","Roman Emperor and Stoic philosopher","The happiness of your life depends upon the quality of your thoughts."
"19","growth","Marcus Aurelius","Roman Emperor and Stoic philosopher","Waste no more time arguing about what a good man should be. Be one."
